era,numcontinents,numcountries,numvenues,numcircuits,numraces,numyears,numdrivers,numconstructors
1977,5,16,19,23,77,5,101,34
1982,6,18,24,26,95,6,76,26
1988,6,16,18,21,80,5,76,28
1993,6,14,16,16,16,1,35,13
1994,5,15,19,20,82,5,66,19
1999,5,15,17,17,83,5,47,14
2004,5,17,19,20,72,4,46,18
2008,5,21,22,24,93,5,45,20
2013,5,24,25,25,113,6,45,14
